country,pred_area
Afghanistan,22.035946
Albania,-3.8513105
Andorra,3.1902134
Armenia,13.922831
Australia,6.7596827
Austria,9.667598
Azerbaijan,9.323655
Bahrain,46.202705
Bangladesh,41.700356
Belarus,-0.85088474
Belgium,9.288987
Bhutan,7.6650314
Bosnia and Herzegovina,1.6522497
Botswana,6.816701
Brunei Darussalam,6.073493
Bulgaria,6.7177925
Burundi,-1.7406662
Madagascar,7.0970187
Cambodia,10.04604
China,1.6522497
Bulgaria,1.3094764
Comoros,10.660006
Croatia,6.927453
Cyprus,58.24194
Czech Republic,14.0051365
Denmark,6.411561
Djibouti,42.95178
Egypt,10.203847
Eritrea,2.1718504
Estonia,6.35817
Swaziland,94.08303
Ethiopia,-1.4663651
Fiji Islands,41.217384
Finland,5.546624
France,4.538485
Georgia,7.6506386
Germany,5.546624
Greece,94.709694
Vatican City,48.757195
Hungary,5.499631
India,40.254597
Indonesia,6.1407514
Iran,13.784926
Iraq,38.791607
Israel,6.758634
Italy,48.757195
Japan,48.103542
Jordan,100.62091
Kazakhstan,-0.8424836
Kenya,0.1416255
Kiribati,43.51613
Kuwait,62.469547
Kyrghyzstan,3.2034783
Indonesia,1.3404728
Latvia,8.569852
Lebanon,15.864464
Lesotho,121.27431
Thailand,6.0610332
Liechtenstein,7.52409
Lithuania,9.072408
Luxembourg,7.4852343
Madagascar,5.546624
Malawi,18.589336
Malaysia,45.17082
Maldives,43.048134
Malta,7.9021444
Marshall Islands,41.525833
Mauritius,15.312161
Micronesia,40.161884
Russia,-0.85088474
Monaco,12.283724
Mongolia,-0.98364055
Montenegro,48.757195
Mozambique,38.692894
Myanmar,13.046454
Namibia,71.89064
Turkey,15.933482
Nepal,50.254894
Netherlands,13.036158
New Zealand,7.9684978
North Korea,-5.446599
Macedonia,84.193436
Norway,4.366338
Oman,40.444218
Pakistan,12.693806
Palau,11.76782
Papua New Guinea,12.417864
Philippines,45.17082
Poland,7.2667894
Qatar,44.443546
Romania,16.836933
Russia,-0.7767665
Rwanda,13.495615
Samoa,40.161884
San Marino,-3.126547
Belgium,11.745686
Saudi Arabia,34.062984
Serbia,2.7665482
Seychelles Islands,10.453185
Singapore,40.254597
Slovakia,7.528199
Slovenia,-0.14222145
Solomon Islands,39.384827
Somalia,11.508071
South Africa,121.92337
South Korea,52.854786
Sudan,25.491657
Spain,5.763009
Sri Lanka,4.412604
Sudan,41.224804
Sweden,11.025378
Switzerland,8.568679
Syria,7.4010243
Tajikistan,2.4471507
Tanzania,15.822557
Thailand,50.489967
Timor-Leste,10.852719
Bulgaria,-1.4970615
Tonga,15.322157
Turkey,5.5383987
Turkmenistan,14.629449
Tuvalu,37.35851
Uganda,12.507026
Ukraine,9.986219
United Arab Emirates,40.177605
Uzbekistan,12.371954
Vanuatu,13.046454
Vietnam,9.967441
Yemen,6.001322
Zambia,15.69095
Zimbabwe,4.6588917
Algeria,43.53905
Angola,53.801315
Antigua and Barbuda,41.013947
Argentina,83.74987
Bahamas,42.437584
Barbados,40.90322
Belize,40.416496
Benin,13.456946
Bolivia,66.83436
Brazil,36.328712
Burkina Faso,39.37941
Cape Verde,13.977119
Cameroon,2.7767222
Canada,20.87925
Central African Republic,3.2427328
Chad,42.530296
Chile,14.0051365
Congo,13.78779
Costa Rica,11.956335
Cuba,41.71363
Democratic Republic of Congo,13.78779
Dominica,39.24323
Dominican Republic,41.217384
Ecuador,6.3648458
El Salvador,40.03829
Equatorial Guinea,11.846419
Gabon,13.125053
Gambia,6.1407514
Ghana,13.046454
Grenada,42.073338
Guatemala,13.650121
Guinea,39.45357
Guinea-Bissau,6.3000584
Guyana,41.71363
Haiti,41.019344
Honduras,36.93777
Iceland,2.935753
Ireland,11.173033
Jamaica,48.214268
Liberia,3.6197143
Mali,11.76782
Mauritania,46.030254
Mexico,11.593568
Morocco,4.5728006
Nicaragua,41.46334
Niger,13.046454
Nigeria,4.412604
Bolivia,45.174454
Panama,46.935635
Paraguay,42.706573
Portugal,1.0033715
Saint Kitts and Nevis,40.94336
Saint Lucia,42.073338
Saint Vincent and the Grenadines,41.297737
Senegal,40.365322
Sierra Leone,11.246075
Suriname,46.935635
Trinidad and Tobago,42.52273
Tunisia,42.173885
United Kingdom,2.4471507
United States of America,38.81884
Uruguay,6.411561
Venezuela,41.126366
