country,pred_area
Australia,4.789294
Brunei Darussalam,4.9280205
Cambodia,9.868029
China,9.813125
Fiji Islands,-0.38469863
Indonesia,-0.94018745
Japan,9.347389
Kiribati,-1.3972585
Indonesia,5.589144
Thailand,1.6010058
Malaysia,4.9134965
Marshall Islands,-1.3264107
Micronesia,-0.8723624
Mongolia,5.873405
New Zealand,-0.06982601
North Korea,13.315051
Palau,-0.76163286
Papua New Guinea,5.0746193
Philippines,6.566773
Samoa,-0.4054675
Singapore,9.929622
Solomon Islands,-0.35778505
South Korea,7.9231834
Thailand,4.0396943
Timor-Leste,-0.27221286
Tonga,-0.22414516
Tuvalu,-1.5976777
Vanuatu,-0.23037694
Vietnam,6.3279085
Afghanistan,5.537908
Albania,2.4277503
Algeria,2.1429596
Andorra,9.881001
Angola,5.2637215
Antigua and Barbuda,3.2687845
Argentina,11.138327
Armenia,1.8909996
Austria,11.962135
Azerbaijan,6.100248
Bahamas,1.1025437
Bahrain,3.1059873
Bangladesh,3.7091687
Barbados,2.5952969
Belarus,7.095618
Belgium,6.443262
Belize,4.333653
Benin,1.8523024
Bhutan,2.1389747
Bolivia,11.37687
Bosnia and Herzegovina,11.484077
Botswana,2.8147588
Brazil,14.304081
Bulgaria,4.013069
Burkina Faso,19.726288
Burundi,2.7616775
Madagascar,4.492213
Cape Verde,5.330527
Cameroon,3.9253285
Canada,9.13411
Central African Republic,12.107791
Chad,19.791729
Chile,2.8228536
Bulgaria,7.549637
Comoros,8.327051
Congo,5.550888
Costa Rica,6.2776585
Croatia,30.822803
Cuba,2.6207297
Cyprus,6.067322
Czech Republic,3.9290135
Democratic Republic of Congo,5.776031
Denmark,4.750786
Djibouti,5.080851
Dominica,-0.92721295
Dominican Republic,3.9253285
Ecuador,0.29770172
Egypt,2.9314861
El Salvador,3.6913981
Equatorial Guinea,4.5643926
Eritrea,3.5068903
Estonia,6.4948177
Senegal,19.726288
Ethiopia,7.108629
Finland,6.4948177
France,7.9952426
Gabon,13.774395
Gambia,19.634262
Georgia,5.122985
Germany,3.243854
Ghana,9.696443
Greece,8.464092
Grenada,3.9253285
Guatemala,33.752525
Guinea,1.7613813
Guinea-Bissau,16.080387
Guyana,0.24963827
Haiti,-0.045196302
Vatican City,1.9988974
Honduras,4.086023
Hungary,0.38200554
Iceland,4.5933166
India,15.827799
Iran,7.095618
Iraq,5.380961
Ireland,10.179183
Israel,2.0517063
Italy,1.9988974
Jamaica,-1.3972585
Jordan,1.939849
Kazakhstan,5.537908
Kenya,3.509993
Kuwait,9.081901
Kyrghyzstan,3.0442033
Latvia,5.159927
Lebanon,3.2574575
Lesotho,4.056377
Liberia,1.7613813
Liechtenstein,5.139257
Lithuania,15.898983
Luxembourg,3.3159137
Madagascar,-1.858396
Malawi,6.8439746
Maldives,4.7678347
Mali,19.726288
Malta,2.4087248
Mauritania,1.6868055
Mauritius,0.64145905
Mexico,17.6365
Iran,0.33130917
Monaco,9.934412
Montenegro,3.3480186
Morocco,9.265229
Mozambique,9.978759
Namibia,2.688505
Turkey,5.499852
Nepal,6.159392
Netherlands,3.243854
Nicaragua,14.304081
Niger,19.726288
Nigeria,19.634262
Macedonia,19.622482
Norway,16.61331
Oman,4.776905
Pakistan,8.063071
Bolivia,-2.1222565
Panama,8.939845
Paraguay,18.075579
Peru,3.964337
Poland,4.9200616
Portugal,8.8343
Qatar,8.039916
Romania,8.332769
Russia,5.122985
Rwanda,4.2411275
Saint Kitts and Nevis,3.8882673
Saint Lucia,3.9253285
Saint Vincent and the Grenadines,2.08819
San Marino,19.756325
Belgium,6.443262
Saudi Arabia,4.17401
Senegal,-0.045196302
Serbia,9.5056
Seychelles Islands,4.0943465
Sierra Leone,0.54645705
Slovakia,13.532974
Slovenia,1.868097
Somalia,4.0396943
South Africa,4.8407598
Sudan,1.7890221
Spain,3.12544
Sri Lanka,9.861796
Sudan,1.9386518
Suriname,9.629745
Sweden,11.030741
Switzerland,-0.21711434
Syria,13.532974
Tajikistan,4.9200616
Tanzania,1.8839302
Bulgaria,1.8401295
Trinidad and Tobago,8.635653
Tunisia,8.134639
Turkey,10.974987
Turkmenistan,5.1908097
Uganda,-1.0598243
Ukraine,9.366319
United Arab Emirates,8.8343
United Kingdom,12.518797
United States of America,2.2067995
Uruguay,5.1632133
Uzbekistan,3.7137296
Venezuela,10.934885
Yemen,2.17103
Zambia,3.0401597
Zimbabwe,2.7146046
